tournament,type,year,start_date,end_date
2002 FIFA World Cup,FIFA World Cup,2002,2002-05-31,2002-06-30
2006 FIFA World Cup,FIFA World Cup,2006,2006-06-09,2006-07-09
2010 FIFA World Cup,FIFA World Cup,2010,2010-06-11,2010-07-31
2014 FIFA World Cup,FIFA World Cup,2014,2014-06-12,2014-07-13
UEFA Euro 2004,UEFA Euro,2004,2004-06-12,2004-07-04
UEFA Euro 2008,UEFA Euro,2008,2008-06-07,2008-06-29
UEFA Euro 2012,UEFA Euro,2012,2012-06-08,2012-07-01
UEFA Euro 2016,UEFA Euro,2016,2016-06-10,2016-07-10
